point_id,x,y,room_name,notes
0,69.5298708902,30.9443630014,W102E,Floor 1 - W102E
1,77.1761347856,30.9443630014,E100_1,Floor 1 - E100 Door 1
2,80.1239995679,47.5670894509,E100_2,Floor 1 - E100 Door 2
3,80.1239995679,38.5230484957,E105_1,Floor 1 - E105 Door 1
4,80.1315687765,66.5064343072,E105_2,Floor 1 - E105 Door 2
5,80.1315687765,57.3231193381,E125_1,Floor 1 - E125 Door 1
6,80.1475737059,76.2505398364,E125_2,Floor 1 - E125 Door 2
7,80.1475737059,85.4563033802,E141_1,Floor 1 - E141 Door 1
8,60.5129729659,102.8377615957,E141_2,Floor 1 - E141 Door 2
9,43.3725243953,102.8377615957,N151_1,Floor 1 - N151 Door 1
10,30.3688259724,21.9295630026,N151_2,Floor 1 - N151 Door 2
11,30.3688259724,31.9283513103,W192_1,Floor 1 - W192 Door 1
12,69.5298708902,30.9443630014,W192_2,Floor 1 - W192 Door 2
13,77.1761347856,30.9443630014,E100A,Floor 1 - E100A
14,80.1239995679,47.5670894509,E100B,Floor 1 - E100B
15,67.2679166708,36.9478915051,E103,Floor 1 - E103
16,75.342932193,51.6250866784,E115T,Floor 1 - E115T (Restroom)
17,76.0582402109,72.1253535988,E137T,Floor 1 - E137T (Restroom)
18,72.1290762637,102.3151653895,N147,Floor 1 - N147
19,71.9728923333,105.777237466,N146,Floor 1 - N146
20,38.813199658,105.7489652627,N156,Floor 1 - N156
21,46.9637424112,105.7882368602,N154,Floor 1 - N154
22,55.315543371,105.7506913012,N152,Floor 1 - N152
23,63.6590770214,105.7534896159,N148,Floor 1 - N148
24,26.4247354441,19.7993623741,W198,Floor 1 - W198
25,26.4247354441,23.4954107422,W196,Floor 1 - W196
26,5.2881102992,21.7933715032,W197,Floor 1 - W197
27,7.7308777263,27.0591699449,W195,Floor 1 - W195
28,7.7308777263,34.5201571188,W191,Floor 1 - W191
29,26.4247354441,27.2747335107,W194,Floor 1 - W194
30,30.3688259724,33.2878055538,W190,Floor 1 - W190
31,30.3688259724,43.1241981115,W188,Floor 1 - W188
32,21.5495765455,39.8448672997,W188M,Floor 1 - W188M (Lounge)
33,19.989494091,39.8448672997,W190M,Floor 1 - W190M (Lounge)
34,7.7932825002,45.3013093602,W185,Floor 1 - W185
35,7.7932825002,52.5315380083,W183,Floor 1 - W183
36,7.7932825002,55.9250454904,W179,Floor 1 - W179
37,26.4247354441,45.2928666289,W186,Floor 1 - W186
38,26.4247354441,48.6530200265,W184,Floor 1 - W184
39,26.4247354441,52.5107482625,W182,Floor 1 - W182
40,26.4247354441,55.9297047417,W180,Floor 1 - W180
41,26.4710503792,67.8330003161,W170,Floor 1 - W170
42,20.931468861,90.2014857576,W166T,Floor 1 - W166T (Restroom)
43,19.4790311571,90.2014857576,W168T,Floor 1 - W168T (Restroom)
44,27.3073031647,102.8923669012,W162,Floor 1 - W162
45,10.4183781128,93.7451463791,W167M,Floor 1 - W167M (Lounge)
46,8.8756235859,93.7451463791,W165M,Floor 1 - W165M (Lounge)
47,25.0,10.0,W101S,Floor 1 - W101S (Stairwell)
48,28.0,5.0,WElev3,Floor 1 - WElev3 (Elevator)
49,32.0,15.0,W103SN,Floor 1 - W103SN (Stairwell)
50,35.0,12.0,W102SS,Floor 1 - W102SS (Stairwell)
51,38.0,20.0,W104S,Floor 1 - W104S (Stairwell)
52,42.0,25.0,W101E,Floor 1 - W101E
53,45.0,30.0,WElev2,Floor 1 - WElev2 (Elevator)
54,85.0,95.0,N105E,Floor 1 - N105E
55,88.0,100.0,N106E,Floor 1 - N106E
56,85.0,15.0,E102S,Floor 1 - E102S (Stairwell)
57,88.0,10.0,EElev1,Floor 1 - EElev1 (Elevator)
58,90.0,35.0,E107E,Floor 1 - E107E
59,92.0,60.0,E108E,Floor 1 - E108E
60,85.0,20.0,E103S,Floor 1 - E103S (Stairwell)
61,88.0,25.0,E104S,Floor 1 - E104S (Stairwell)
62,90.0,40.0,E109E,Floor 1 - E109E
63,92.0,65.0,E110E,Floor 1 - E110E
64,80.0,5.0,E105SW,Floor 1 - E105SW
65,85.0,5.0,E105SE,Floor 1 - E105SE
66,90.0,45.0,E111E,Floor 1 - E111E
67,15.0,95.0,W103E,Floor 1 - W103E
68,12.0,100.0,N104E,Floor 1 - N104E
69,0.0,0.0,ori,Origin calibration point
70,100.3936931703,130.1968366487,ori-tr,Reference calibration point
