point_id,x,y,room_name,notes
0,77.888379,95.724874,N048_1,Room N048 - Door 1
1,68.760189,95.724874,N048_2,Room N048 - Door 2
2,66.527225,95.722124,N050_1,Room N050 - Door 1
3,57.858242,95.722124,N050_2,Room N050 - Door 2
4,55.599406,95.712345,N054_1,Room N054 - Door 1
5,47.117023,95.712345,N054_2,Room N054 - Door 2
6,44.910334,95.700938,N056_1,Room N056 - Door 1
7,38.050383,95.700938,N056_2,Room N056 - Door 2
8,67.363440,83.883325,E040_1,Room E040 - Door 1
9,67.363440,74.097749,E040_2,Room E040 - Door 2
10,67.405207,63.878599,E024_1,Room E024 - Door 1
11,67.405207,54.229854,E024_2,Room E024 - Door 2
12,67.392306,43.978366,E004_1,Room E004 - Door 1
13,67.392306,34.176650,E004_2,Room E004 - Door 2
14,82.862320,26.631768,E001_1,Room E001 - Door 1
15,71.653844,26.631768,E001_2,Room E001 - Door 2
16,29.336641,39.066380,W088_1,Room W088 - Door 1
17,29.336641,28.988360,W088_2,Room W088 - Door 2
18,29.355357,27.591865,W090_1,Room W090 - Door 1
19,29.355357,17.318894,W090_2,Room W090 - Door 2
20,27.785541,16.511943,W098,Room W098
21,25.245115,22.606802,W094,Room W094
22,26.147411,82.656992,W066,Room W066
23,26.199225,75.197200,W068,Room W068
24,26.159957,67.976700,W070,Room W070
25,25.247020,59.861935,W074,Room W074
26,26.182710,56.151587,W076,Room W076
27,25.291800,51.711961,W078,Room W078
28,26.158814,41.947987,W080,Room W080
29,20.000000,35.838679,W088M,Room W088M
30,18.338741,35.817392,W090M,Room W090M
31,3.011934,17.022515,W097,Room W097
32,25.247742,18.509657,W096,Room W096
33,5.502624,29.921006,W091,Room W091
34,25.971710,28.218690,W092,Room W092
35,5.566502,51.698063,W075,Room W075
36,3.000089,92.402779,W065M,Room W065M
37,6.887801,92.442474,W063M,Room W063M
38,9.563216,93.454405,W061,Room W061
39,28.773746,96.564117,W058A,Room W058A
40,17.844364,88.772439,W068T,Restroom W068T
41,19.370308,88.788461,W066T,Restroom W066T
42,5.497481,79.350005,W069,Room W069
43,5.511771,71.227994,W071,Room W071
44,79.619976,92.283242,N044,Room N044
45,80.763932,90.717633,N042M,Room N042M
46,69.207915,49.056351,E014T,Restroom E014T
47,69.164786,69.006515,E036T,Restroom E036T
48,0.000000,0.000000,ori,Origin point for calibration (bottom-left)
49,100.390000,130.200000,ref,Reference point for calibration (top-right)
