point_id,x,y,room_name,notes
0,77.888379,95.724874,N048_1,Basement - N048 Door 1
1,68.760189,95.724874,N048_2,Basement - N048 Door 2
2,83.220555,46.224541,E004S_1,Basement - E004S Door 1
3,85.799147,43.776627,E004S_2,Basement - E004S Door 2
4,66.527225,95.722124,N050_1,Basement - N050 Door 1
5,57.858242,95.722124,N050_2,Basement - N050 Door 2
6,55.599406,95.712345,N054_1,Basement - N054 Door 1
7,47.117023,95.712345,N054_2,Basement - N054 Door 2
8,44.910334,95.700938,N056_1,Basement - N056 Door 1
9,38.050383,95.700938,N056_2,Basement - N056 Door 2
10,67.363440,83.883325,E040_1,Basement - E040 Door 1
11,67.363440,74.097749,E040_2,Basement - E040 Door 2
12,67.405207,63.878599,E024_1,Basement - E024 Door 1
13,67.405207,54.229854,E024_2,Basement - E024 Door 2
14,67.392306,43.978366,E004_1,Basement - E004 Door 1
15,67.392306,34.176650,E004_2,Basement - E004 Door 2
16,82.862320,26.631768,E001_1,Basement - E001 Door 1
17,71.653844,26.631768,E001_2,Basement - E001 Door 2
18,29.336641,39.066380,W088_1,Basement - W088 Door 1
19,29.336641,28.988360,W088_2,Basement - W088 Door 2
20,29.355357,27.591865,W090_1,Basement - W090 Door 1
21,29.355357,17.318894,W090_2,Basement - W090 Door 2
22,27.785541,16.511943,W098,Basement - W098
23,25.245115,22.606802,W094,Basement - W094
24,26.147411,82.656992,W066,Basement - W066
25,26.199225,75.197200,W068,Basement - W068
26,26.159957,67.976700,W070,Basement - W070
27,25.247020,59.861935,W074,Basement - W074
28,26.182710,56.151587,W076,Basement - W076
29,25.291800,51.711961,W078,Basement - W078
30,26.158814,41.947987,W080,Basement - W080
31,20.000000,35.838679,W088M,Basement - W088M (Lounge)
32,18.338741,35.817392,W090M,Basement - W090M (Lounge)
33,3.011934,17.022515,W097,Basement - W097
34,25.247742,18.509657,W096,Basement - W096
35,5.502624,29.921006,W091,Basement - W091
36,25.971710,28.218690,W092,Basement - W092
37,5.566502,51.698063,W075,Basement - W075
38,3.000089,92.402779,W065M,Basement - W065M (Lounge)
39,6.887801,92.442474,W063M,Basement - W063M (Lounge)
40,9.563216,93.454405,W061,Basement - W061
41,28.773746,96.564117,W058A,Basement - W058A
42,17.844364,88.772439,W068T,Basement - W068T (Restroom)
43,19.370308,88.788461,W066T,Basement - W066T (Restroom)
44,5.497481,79.350005,W069,Basement - W069
45,5.511771,71.227994,W071,Basement - W071
46,79.619976,92.283242,N044,Basement - N044
47,10.539100,35.807684,W001S,Basement - W001S (Stairwell)
48,24.366539,35.966917,WElev3,Basement - WElev3 (Elevator)
49,30.086958,61.925909,W002SS,Basement - W002SS (Stairwell)
50,68.796179,90.284549,E002S,Basement - E002S (Stairwell)
51,79.464556,87.630408,EElev1,Basement - EElev1 (Elevator)
52,10.543180,88.764577,W004S,Basement - W004S (Stairwell)
53,83.241148,71.847349,E003S,Basement - E003S (Stairwell)
54,74.043596,28.961285,E005S,Basement - E005S (Stairwell)
55,80.763932,90.717633,N042M,Basement - N042M (Lounge)
56,24.074909,94.062386,WElev2,Basement - WElev2 (Elevator)
57,69.207915,49.056351,E014T,Basement - E014T (Restroom)
58,69.164786,69.006515,E036T,Basement - E036T (Restroom)
59,0.000000,0.000000,ori,Origin calibration point
60,100.393474,130.196494,ori-tr,Reference calibration point
