point_id,x,y,room_name,notes
0,6.8885527775,76.9912433923,W102E_1,Floor 1 - W102E Door 1
1,5.9198400938,79.0659030566,W102E_2,Floor 1 - W102E Door 2
2,69.5298708902,30.9443630014,E100_1,Floor 1 - E100 Door 1
3,77.1761347856,30.9443630014,E100_2,Floor 1 - E100 Door 2
4,80.1239995679,47.5670894509,E105_1,Floor 1 - E105 Door 1
5,80.1239995679,38.5230484957,E105_2,Floor 1 - E105 Door 2
6,80.1315687765,66.5064343072,E125_1,Floor 1 - E125 Door 1
7,80.1315687765,57.3231193381,E125_2,Floor 1 - E125 Door 2
8,80.1475737059,76.2505398364,E141_1,Floor 1 - E141 Door 1
9,80.1475737059,85.4563033802,E141_2,Floor 1 - E141 Door 2
10,60.5129729659,102.8377615957,N151_1,Floor 1 - N151 Door 1
11,43.3725243953,102.8377615957,N151_2,Floor 1 - N151 Door 2
12,30.3688259724,21.9295630026,W192_1,Floor 1 - W192 Door 1
13,30.3688259724,31.9283513103,W192_2,Floor 1 - W192 Door 2
14,69.5298708902,30.9443630014,E100A,Floor 1 - E100A
15,77.1761347856,30.9443630014,E100B,Floor 1 - E100B
16,67.2679166708,36.9478915051,E103,Floor 1 - E103
17,75.3429321930,51.6250866784,E115T,Floor 1 - E115T (Restroom)
18,76.0582402109,72.1253535988,E137T,Floor 1 - E137T (Restroom)
19,72.1290762637,102.3151653895,N147,Floor 1 - N147
20,71.9728923333,105.7772374660,N146,Floor 1 - N146
21,38.8131996580,105.7489652627,N156,Floor 1 - N156
22,46.9637424112,105.7882368602,N154,Floor 1 - N154
23,55.3155433710,105.7506913012,N152,Floor 1 - N152
24,63.6590770214,105.7534896159,N148,Floor 1 - N148
25,26.4247354441,19.7993623741,W198,Floor 1 - W198
26,26.4247354441,23.4954107422,W196,Floor 1 - W196
27,5.2881102992,21.7933715032,W197,Floor 1 - W197
28,7.7308777263,27.0591699449,W195,Floor 1 - W195
29,7.7308777263,34.5201571188,W191,Floor 1 - W191
30,26.4247354441,27.2747335107,W194,Floor 1 - W194
31,30.3688259724,33.2878055538,W190,Floor 1 - W190
32,30.3688259724,43.1241981115,W188,Floor 1 - W188
33,21.5495765455,39.8448672997,W188M,Floor 1 - W188M (Lounge)
34,19.9894940910,39.8448672997,W190M,Floor 1 - W190M (Lounge)
35,7.7932825002,45.3013093602,W185,Floor 1 - W185
36,7.7932825002,52.5315380083,W183,Floor 1 - W183
37,7.7932825002,55.9250454904,W179,Floor 1 - W179
38,26.4247354441,45.2928666289,W186,Floor 1 - W186
39,26.4247354441,48.6530200265,W184,Floor 1 - W184
40,26.4247354441,52.5107482625,W182,Floor 1 - W182
41,26.4247354441,55.9297047417,W180,Floor 1 - W180
42,26.4710503792,67.8330003161,W170,Floor 1 - W170
43,20.9314688610,90.2014857576,W166T,Floor 1 - W166T (Restroom)
44,19.4790311571,90.2014857576,W168T,Floor 1 - W168T (Restroom)
45,27.3073031647,102.8923669012,W162,Floor 1 - W162
46,10.4183781128,93.7451463791,W167M,Floor 1 - W167M (Lounge)
47,8.8756235859,93.7451463791,W165M,Floor 1 - W165M (Lounge)
48,7.6417820700,39.6810182441,W101S,Floor 1 - W101S (Stairwell)
49,25.2594528595,39.7710984876,WElev3,Floor 1 - WElev3 (Elevator)
50,31.0102950206,75.2711057074,W103SN,Floor 1 - W103SN (Stairwell)
51,31.0680054827,66.7903950175,W102SS,Floor 1 - W102SS (Stairwell)
52,7.6647448373,90.3218185963,W104S,Floor 1 - W104S (Stairwell)
53,3.8117671168,47.5665457091,W101E,Floor 1 - W101E
54,25.6111820040,95.2855015316,WElev2,Floor 1 - WElev2 (Elevator)
55,81.7128366638,101.5952991759,N105E,Floor 1 - N105E
56,64.9809873212,93.7713561417,N106E,Floor 1 - N106E
57,74.8250207640,89.0546501989,E102S,Floor 1 - E102S (Stairwell)
58,78.2940340217,89.0746958219,EElev1,Floor 1 - EElev1 (Elevator)
59,86.9643244026,70.8790802419,E107E,Floor 1 - E107E
60,86.9489314974,52.9321199566,E108E,Floor 1 - E108E
61,83.4179870080,70.4112726987,E103S,Floor 1 - E103S (Stairwell)
62,83.3249769198,53.3224627999,E104S,Floor 1 - E104S (Stairwell)
63,85.3708325013,33.5690844210,E109E,Floor 1 - E109E
64,64.8081638747,34.3552461711,E110E,Floor 1 - E110E
65,69.4287391329,36.0379573960,E105SW,Floor 1 - E105SW
66,80.0428806552,36.0201112741,E105SE,Floor 1 - E105SE
67,32.9321701684,52.4882665830,E111E,Floor 1 - E111E
68,32.9136727533,99.3166156694,W103E,Floor 1 - W103E
69,37.1049518609,99.3166156694,N104E,Floor 1 - N104E
70,0.0000000000,0.0000000000,ori,Origin calibration point
71,100.3936964397,130.1968467569,ori-tr,Reference calibration point
