Course,Instructor,Room,Days,Start,End,Enrolled,Status
Simulation Techniques for Dynamic Systems,,Scott Lab E141,"Tue, Thu",2:20 pm,3:40 pm,9,Open
Simulation Techniques for Dynamic Systems,,Scott Lab E205,Fri,12:40 pm,2:30 pm,9,Open
Simulation Techniques for Dynamic Systems,,Scott Lab E205,Fri,4:00 pm,5:50 pm,9,Open
Simulation Techniques for Dynamic Systems,,Scott Lab E141,"Tue, Thu",2:20 pm,3:40 pm,9,Open
Simulation Techniques for Dynamic Systems,,Scott Lab E205,Fri,12:40 pm,2:30 pm,9,Open
Introduction to Humanitarian Engineering,,Scott Lab E125,"Tue, Thu",9:35 am,10:55 am,6,Open
Life in the Universe,,Scott Lab E125,"Mon, Wed, Fri",11:30 am,12:25 pm,3,Open
Introduction to Probability for Data Analytics,,Scott Lab N050,"Mon, Wed, Fri",3:00 pm,3:55 pm,15,Closed
"Mechanics, Kinematics, Fluids, Waves",,Scott Lab E245,"Wed, Fri",3:00 pm,3:55 pm,65,Open
"E&M, Optics, Modern Physics",,Scott Lab E103,"Wed, Fri",8:00 am,8:55 am,66,Open
"E&M, Optics, Modern Physics",,Scott Lab E241,"Wed, Fri",8:00 am,8:55 am,66,Open
"E&M, Optics, Modern Physics",,Scott Lab E245,"Wed, Fri",9:10 am,10:05 am,66,Open
"E&M, Optics, Modern Physics",,Scott Lab E245,"Wed, Fri",10:20 am,11:15 am,66,Open
"E&M, Waves, Optics, Modern Physics",,Scott Lab E241,Mon,4:10 pm,5:05 pm,48,Open
Topics in Condensed Matter Physics,,Scott Lab N056,"Mon, Wed",3:00 pm,5:05 pm,1,Open
Medical Product Development II,,Scott Lab N044,"Mon, Wed",4:10 pm,6:00 pm,1,Open
"E&M, Waves, Optics, Modern Physics",,Scott Lab E241,Mon,3:20 pm,4:30 pm,51,Open
Introduction to the Mechanical Behavior of Materials,,Scott Lab N054,"Mon, Wed, Fri",12:40 pm,1:35 pm,5,Open
Biomaterials Processing,,Scott Lab N044,"Mon, Wed, Fri",12:40 pm,1:35 pm,4,Open
Principles of Programming Languages,,Scott Lab E004,"Tue, Thu",11:10 am,12:30 pm,45,Closed
Real-Time Rendering,,Scott Lab E125,"Tue, Thu",9:35 am,10:55 am,18,Open
Computer Communication Networks,,Scott Lab E004,"Tue, Thu",3:55 pm,5:15 pm,7,Open
Data Management in the Cloud,,Scott Lab E040,"Tue, Thu",11:10 am,12:30 pm,28,Open
Structural Engineering Principles,,Scott Lab E004,"Mon, Wed, Fri",11:30 am,12:25 pm,46,Open
Flight Vehicle Structures I,,Scott Lab E001,"Mon, Wed, Fri",12:40 pm,1:35 pm,125,Open
Abnormal Psychology,,Scott Lab E105,"Tue, Thu",9:35 am,10:55 am,30,Closed
Introduction to Engineering Materials,,Scott Lab E040,Tue,12:40 pm,1:35 pm,335,Open
Design of Atmospheric Flight Vehicles II,,Scott Lab N048,Fri,10:20 am,11:15 am,24,Open
Principles of Microeconomics,,Scott Lab N048,Fri,8:00 am,8:55 am,38,Open
Labor Economics,,Scott Lab E004,"Tue, Thu",12:45 pm,2:05 pm,0,Open
Microeconomic Theory IIA,,Scott Lab N048,"Mon, Wed",3:00 pm,5:05 pm,0,Open
Computer Communication Networks,,Scott Lab E004,"Tue, Thu",3:55 pm,5:15 pm,23,Open
Capstone Design I,,Scott Lab N048,"Tue, Thu",2:20 pm,3:40 pm,42,Closed
General Chemistry I,,Scott Lab E105,Wed,1:50 pm,2:45 pm,361,Open
General Chemistry I,,Scott Lab N056,Wed,3:00 pm,3:55 pm,361,Open
General Chemistry I,,Scott Lab E105,Tue,3:00 pm,3:55 pm,361,Open
General Chemistry II,,Scott Lab E245,Fri,8:00 am,8:55 am,299,Open
General Chemistry II,,Scott Lab E241,Fri,1:50 pm,2:45 pm,299,Open
Organic Chemistry I,,Scott Lab E245,Fri,11:30 am,12:25 pm,167,Open
Organic Chemistry I,,Scott Lab E105,Tue,8:00 am,8:55 am,167,Open
Organic Chemistry I,,Scott Lab E105,Tue,12:40 pm,1:35 pm,167,Open
Love and Friendship,,Scott Lab E103,"Tue, Thu",11:10 am,12:30 pm,2,Open
Citizenship and Diaspora: Living in Between Countries and Cultures,,Scott Lab E040,"Wed, Fri",10:40 am,12:30 pm,24,Open
College Algebra,,Scott Lab N056,"Mon, Wed",10:20 am,11:15 am,111,Open
College Algebra,,Scott Lab N056,"Mon, Wed",11:30 am,12:25 pm,111,Open
Calculus I,,Scott Lab N056,"Tue, Thu",3:00 pm,3:55 pm,170,Open
Group Studies in Mathematics,,Scott Lab E040,Wed,4:10 pm,5:05 pm,32,Open
Ordinary and Partial Differential Equations,,Scott Lab E024,"Mon, Wed, Fri",4:10 pm,5:05 pm,66,Closed
Theory of Interest,,Scott Lab N048,"Tue, Thu",11:10 am,12:30 pm,45,Open
"History of Modern Africa, 1800 - 1960s",,Scott Lab E245,"Tue, Thu",11:10 am,12:30 pm,25,Closed
General Chemistry I,,Scott Lab E105,Tue,3:00 pm,3:55 pm,11,Open
General Chemistry II,,Scott Lab E103,Thu,3:00 pm,3:55 pm,25,Closed
Organic Chemistry II,,Scott Lab N056,Mon,10:20 am,11:15 am,44,Open
Organic Chemistry for Majors II,,Scott Lab N050,"Mon, Wed, Fri",1:50 pm,2:45 pm,12,Open
Medieval History: Late Rome to the Early Renaissance,,Scott Lab E103,"Wed, Fri",11:10 am,12:30 pm,7,Open
